id_resep,nama_resep,tags
R1,Bubur Singkong Isi Ikan dan Ayam dengan Saus Jeruk,"enam sampai delapan bulan tiga porsi singkong putih, ikan kembung, ayam, kaldu ayam, minyak kelapa, bayam, daun salam, sereh, bawang merah, bawang putih, jeruk"
R2,Pure Ikan Ungu,"enam sampai delapan bulan tiga porsi tahu, labu siam, santan, ikan tuna, ubi ungu, air, kaldu jamur bubuk"
R3,Ubi Tahu,"enam sampai delapan bulan tiga porsi ayam, tahu, wortel, santan, ubi ungu, air, kaldu jamur bubuk"
R4,Salmon Moringa,"enam sampai delapan bulan tiga porsi air, kaldu jamur bubuk, salmon, kentang, mentega tawar"
R5,Sup Bayam Oyong,"enam sampai delapan bulan empat porsi bawang putih, santan, air, kaldu jamur bubuk, misoa, jagung, daun bawang, oyong, ikan dori"
R6,Bubur Nasi Buncis,"enam sampai delapan bulan enam porsi ayam, nasi putih, santan, jahe, air, daun bawang, buncis, kaldu ayam bubuk"
R7,Bubur Hati Ayam,"enam sampai delapan bulan empat porsi nasi putih, santan, air, air, kaldu jamur bubuk, jagung, hati ayam, daun kelor"
R8,Sup Labu Sapi,"enam sampai delapan bulan tiga porsi bawang putih, santan, air, kaldu jamur bubuk, mentega tawar, daun bawang, daging sapi, labu kuning, bengkoang"
R9,Sup Nasi Bayam,"enam sampai delapan bulan enam porsi bayam, bawang putih, nasi putih, santan, jahe, air, air, kaldu ayam bubuk, telur ayam"
R10,Sup Ubi Semur Sapi,"enam sampai delapan bulan empat porsi wortel, santan, jahe, air, kaldu jamur bubuk, daging sapi, ubi merah, biji pala, kecap manis"
R11,Roti Isi Tuna Wijen,"sembilan sampai sebelas bulan empat porsi ikan tuna, kaldu jamur bubuk, mentega tawar, daun bawang, daun kelor, telur ayam, jeruk nipis, kacang wijen, roti tawar, mayones"
R12,Onigiri Daun Kelor,"sembilan sampai sebelas bulan enam porsi nasi putih, santan, jagung, daun bawang, kaldu ayam bubuk, daun kelor, daging sapi, nori, minyak sayur, gula pasir, kacang hijau"
R13,Omelette Hati Ayam,"sembilan sampai sebelas bulan tiga porsi bawang putih, nasi putih, wortel, minyak goreng, kaldu jamur bubuk, buncis, hati ayam, telur ayam, bawang bombay, susu"
